column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
The deal that will force the DOJ to review what little it has on 1MDB,20170421,12 comments,"{drMpower} Why DOJ have to consider cancelling everything?Just because they settle it back door?The allegation isnt about back door or front door, its about siphoning moniesAnd money laundering.This is like saying to the police who issued you speedticket for speeding, its okay i overspeed because i have ABSNot that we want the DOJ to start prosecutionIt just we dont want any other people to steal or, allegedly stealOr worse, we dont people allegedly steal and then go scotsfree because can kautim back door","{xnakdedak} ""Unless I'm getting it totally wrong, the US Department of Justice would be compelled now to review its position on the 1MDB. Might even have to drop the case altogether ...""Congratulations, you got it completely wrong.The US can still proceed with any violations of its own laws and how they were turned into illegal assets.Then your fat boy Jho and Riza and Pinklips will still have to answer.However, as ever Latuk, thanks for putting the rakyat over your own financial interests.You're a credit to journalists everywhere : ) ","{Anonymous} Aiya Latuk lu bikin malu la, ""agreement to settle dispute"" bukan cakap itu Najib talak culi 1MDB punya luit. Ini macam punya ""agreement"" sapa pun boleh bikin mau cover up ma...","{Hisham Belwael} Rocky Bru, the Munafiq Raja Petra,like typical of other Malaysians like to be keyboard warriors. Spin doctors. Always jumping the gun!!! The fact of the matter is ""no predicate offence"" shall NOT dilute US DOJ lawsuits. This offence was factored when the DOJ took of with the investigation. ","{RD.} Ehmmm... not even once, was Jho Low's name mention... by you or The Straits Time.By the looks of it... #Hidup UMNO-Najib, Hidup Jho Low.","{Anonymous} The DOJ has an avalanche of evidence regarding 1MDB. It does not need any further evidence to prosecute all those involved. It is just playing the waiting game. Their time will come. The US will prosecute them all. And this new deal? Well, it can't unlock the civil case - unless somebody from the UMNO administration gets on a plane to the US and takes the stand as a witness against the DOJ filing. We all know that will never happen. Because contempt in the US courts will get you a few years for your trouble. And nobody has gone so far. ",{Hantu Gigi Jarang} Who benefits Rocky? Malaysians? Or just those few crooks up there?,{Rocki's drool} Ko biar betul? Ko ingat kes DOJ tu pasal ipic je ke? Sudahla tu din. Agak2 la nak membodohkan diri.,{Anonymous} So where exactly did the money that our taxpayers now have to pay Abu Dhabi?? Overdose dedak la lu Rocky! You are becoming as moronic as your dedak giver....hehe,{arizmaya} no comment allowed?,"{xnakdedak} Whatever qualifications were achieved by Mohd Puad Zakarshi, they plainly did not demand logic.Because, the settlement by 1MDB doesn’t undermine the DOJ case, to the contrary it confirms it. Period.If 1MDB had really paid $3.5 billion in ‘guarantee deposits’ to IPIC, as Najib continues to laughably claim, then Malaysia would never have lost the arbitration case and been forced to pay back the $1.2 billion that IPIC later bailed them out with.Instead, the court would have pointed out that the bail out was just a third of the up-front deposit and IPIC would actually still have over $2 billion of 1MDB’s money left.This is not what has happened.  The settlement involves an agreement by 1MDB to pay back the bail out money and to take over the responsibility for the remainder of its debts.It is therefore a concrete admission by Malaysia that it could not prove its claims that it had deposited a single cent let alone billions with IPIC.And that means that the money trails supplied by the DOJ investigations, showing instead that all the money was siphoned off into a bogus BVI account to pay for Jho Low, Rosmah and Khadem Al Qubaisi’s fun and frolics, has been confirmed by the settlement and not weakened.It is plain as daylight, yet this Minister of Disinformation is attempting to say the opposite. How stupid does he think people are in Malaysia?He is also asking people to believe that the payment is going to come from the ‘monetisation’ of non-existant ‘units’ that 1MDB also doesnt have, because all the PetroSaudi money was funnelled into another off-shore company (Good Star Limited) and stolen as well.Puad says we should believe his story because the PM’s office said it (just like they said IPIC received money which it didn’t).So, who is going to believe this illogical and mendacious fellow when he goes on to say that Najib won’t be touching taxpayer’s funds to repay the debt?Is there a single voter who believes that?","{Hantu Gigi Jarang} Rocky, for once, tenguklah balik bumi yang kau pijak dan langit yang kau junjung. Duit tidak boleh melambatkan kematian..",,,,,,
Minister with Special Functions,20170413,3 comments,"{xnakdedak} ""Heh heh heh....""That's my charity comment, Latuk - seeing as you don't seem to be getting any : )",{William Arul} I'm thinking naming the BN candidates for the next election will be a task that will undertaken by the Special Minister. Usually the job of the Deputy Prime Minister. Reckon?  ,{Anonymous} Still talk kok (cock) Latuk ?,,,,,,,,,,,,,,,
RUU355: And the biggest loser of all is ...,20170412,2 comments,"{RD.} - Dalam diam-diam... Najib akan mengakibatkan pupus dan lenyap ciri-ciri atau identity Melayu seperti Gasing, Congkak, Tapak-sireh, Wau-bulan dan Bangunan Parlimen bersama Bulan-sabit (melambangkan Islam) menaungi Bintang bersegi-14 yang telah sekian lama terpahat pada duit syiling-lama... bila dimansuhkan kegunaannya nanti... mungkin menjelang TN50.Digantikan dengan syiling-baru ciptaan Najib sebaik saja jadi PM yang bercorak atau bermotifkan, seolah-olah Bintang-5 Komunis dan Bunga Teratai.Itu pun... Melayu yang menyokong UMNO-Najib masih buta, tak nampak dan sudah tentu mereka akan pekik... Hidup Melayu... dalam PAU nanti.- Dalam diam-diam... Najib telah menghantar asset dan anggota ATM untuk membantu Arab Saudi mengebom Yemen, Negara Arab paling miskin di Dunia sehingga Tentera Udara pun mereka tak mampu miliki.- Dalam diam... Negara kita telah bersubahat, membunuh anak-anak-kecil, orang-tua dan wanita yang tidak berdosa di Yemen.- Dalam diam... Negara kita telah masuk-campur dalam pertelingkahan bodoh Pak-Pak Arab, suka berbunuhan sesama sendiri yang menguntungkan Negara Kapir yang kuat & maju. Kedua-dua pihak berlumba-lumba beli senjata dari Negara kapir yang kaya untuk membunuh sesama sendiri. Bodoh sunggoh puak-puak Sunni & Syiah ini.","{xnakdedak} ""KUALA LUMPUR, April 15 ? Prime Minister Datuk Seri Najib Razak has urged Barisan Nasional’s “social media activists” to go on the offensive against political rivals ahead of the next general elections.“We have spent far too long in a defensive mode. Enough. Now is the time to attack,” he said in a posting in his blog, after meeting some BN social media activists at an event yesterday.Najib said that the response from the BN supporters must be “swift” and warned against a repeat of rumours that spread around during the 13th general elections.""Latuk,As the ""bapak ayam"" to a whole host of lesser ""dedakers"", I'm sure you'll take this to heart.Heck, maybe you wrote MO1's speech : )",,,,,,,,,,,,,,,,
"Gentleman's agreements, like match-fixing, MUST be thrown out of sports bodies",20170407,2 comments,"{drMpower} Gentleman Agreement is okay and often involved two gentlemenSee my point there? It needs gentleman for this to work. Khairy is a gentleman?Norza is?Gentleman is not only a gentle person per se, but also a person with statue and might and of course qualifiedIs Norza? Is Khairy? For the love of God, these two should clear the deck. Nothing much to be missed if these two go. One is there because of FIL the other his friend, and found guilty of something very fundamentalIt seems being in wilderness doesnt cure his acute illnessYou want it then you fight for it","{Anonymous} When one's political career is on the sunset, join sporting bodies. ",,,,,,,,,,,,,,,,
Why MAIS shouldn't lodge another police report,20170406,1 comment,{Ingrish beterabur} Why not you use his real name instead of a voice? He writes for you right? And zakhir also does too. Shows the lack of quality the writing industry has at the moment when these two can make a living writing.,,,,,,,,,,,,,,,,,
"Two years later, nobody has migrated because of GST",20170401,10 comments,{Labu8455} Ni betui betui mentekaghah dedak punya Datok.,"{Wak Kasem} Sirul has long not been on Mahathir's crying calls.He had to stop on BR1M cause opposition do not agree with him.It only left him with 1MDB. So far Singapore case is only infringement of banking rules issue. Do or pay the penalties and good bye.Many countries claim to be investigating but came to meet Aryl at 1MDB. US court now willing to hear Jho Loh's family application. Soon 1MDB will be a lost cost.Slowly and quietly Najib solving one problem after another. Bringing major investments after another. Economy and employment will recover eventually.Mahathir and his worshippers will be left with nothing but fake news and false facts to scream and bark on.The likes of outsyed, kadir, zam, firdaus, KCD, Perkasa, ... reduced to stray dogs.Mahathir sobbing over his losy IPPs, crooked bridge and dead cronies. Lets built a crooked bridge but as monument in kubang pasu to remember the most crooked Msian that ever live and rose to be longest PM.",{Anonymous} How to migrated. Even those pensioners now have to pay a 6% tax. Never be poor. Itulah nasib.,"{Anonymous} I wish I can migrate but I have no money..The reasons, najib and gst.",{Anonymous} Dalam diam pada PRU akan datang pengundi yg celik akal tidak akan mengundi BN lagi.,"{Anonymous} Ramai generasi muda dalam diam dan tidak kuasa utk bercakap lagi mengenai GST berhijrah ke Australia, Korea Selatan, negara Eropah serta Amerika Syarikat utk mencari pekerjaan mengunakan social visit visa walaupun berisiko sebab kekurangan peluang pekerjaan di negara sendiri dan jika ada sekali pun GST menyebabkan kos sara hidup meningkat dan mereka tidak dapat menyimpan utk membeli harta. ","{RD.} The facts of the matters... nobody would made a fuss about implementing GST, if:-1. there were no Billions of 1MDB-Jho Low's debts, some not accounted for.2. Najib was not a spendthrift and had spend Rakyat's money prudently. e.g... spend RM7.2 Billions in his first 5 years as PM, on consultant & advisers. Only when the country is short of money that he decided to consult Universities' Professors for advise.Alas... his wife's jet-setting and extravagant shopping3. Najib abides KPDNKK's Jihad to eradicate the role of middlemen... such as Razak Baginda, Deepak Carpet & Jho Low... in government's dealings.","{logic kayu} another oxymoron logic by ""top"" editor","{best article by rocky} jadi, yang 51% tak sokong bn dan kerajaan najib juga patut migrate la ke mana-mana negara lain sebab cuma kat malaysia saja ada bn & najibapa punya logik???bodoh quietly enough la, ni go tell the whole world pulak!!!bukan main bodoh lagi kau ni rocky!","{best article by rocky 2} this article is dated 1-aprso, rocky, you can claim it is a joke intended to fool all or some of your readers.Agreed, but the fact that you can think such ridiculously stupid ideas/thoughts and want to tell the whole world but yet try to protect yourself and hide your moronic brain behind a date.ya, brilliant idea,brilliantly dumb!",,,,,,,,
Najib's school of diplomacy (Don't mess with Malaysia Part ll),20170331,8 comments,"{xnakdedak} MO1 SCHOOL OF LYING......“Najib has conveniently and mischievously failed to disclose the multiple elephants squeezed into the room,” Pua said before elaborating on the various debts or guarantees by Putrajaya in relation to the state-owned investment firm.Pua listed them as follows:A 30-year RM5 billion bond which is guaranteed by the federal government;Two 10-year US$1.75 billion bonds which were guaranteed by Abu Dhabi’s International Petroleum Investment Corporation (IPIC) but have since been indemnified by the Ministry of Finance, Incorporated (MoF Inc);10-year US$3 billion bond, guaranteed with a “Letter of Support” issued by the finance minister;US$1 billion advance by IPIC, indemnified by MOF Inc; andAt least US$230 million worth of interest payments by IPIC on behalf of 1MDB, indemnified by MOF Inc.“Hence, the total amount of 1MDB debt still outstanding, and directly or indirectly guaranteed by the federal government are RM5 billion and at least US$7.73 billion, bringing it to a grand total of more than RM39 billion.“This is despite the fact that the federal government has already bailed out 1MDB’s real estate division by assuming 1MDB’s RM2.4 billion worth of sukuk and another RM800 million borrowed from Socso,” Pua said, adding that the RM39 billion was still outstanding despite 1MDB having already disposed of its power plant assets for a total of RM9.83 billion.","{Anonymous} DALAM DIAM...Dalam diam, Raja Arab bagi RM2.6B, kemudian datang melawat Malaysia dan membawa pelaburan berbilion ringgit...Dalam diam, kerajaan China bersetuju melabur berbilion-bilion ringgit di Johor..Dalam diam, Presiden Perancis datang melawat Malaysia dan melabur serta menandatangani beberapa MOU...Dalam diam, 5 rakyat Malaysia yang diculik Abu Sayaff telah berjaya dibawa keluar dan kembali ke Malaysia...Dalam diam, 9 rakyat Malaysia di Korea Utara berjaya dibawa pulang...Dalam diam, DSN dijemput sebagai tetamu kehormat di India dan Malaysia bakal mendapat pelaburan dari India...Dalam diam, hutang 1MDB sudah lunas dan bakal menempa kejayaan untuk negara...Dalam diam, ramai anggota-anggota pengganas berjaya ditangkap...Dalam diam, ramai yang disyaki mengambil rasuah telah dihadapkan ke mahkamah atau sedang disisasat...Dalam diam, DSN dan kerajaan Malaysia telah menjalankan tugas dengan baik dan bersungguh-sungguh demi kemakmuran dan kesejahteraan negara...Yang bising-bising menyalak sana sini dan melalak itu ini satu apa pun depa tak buat...hanya menyalak, melalak, menyalak, melalak....",{pak pandir 2020} Bayang2 depa sendiri pun depa salak,{Saz} Kami yang percaya kepada PM dan kerajaan sentiasa berdoa yang terbaik.InsyAllah...,{Hantu Gigi Jarang} Dalam diam hutang 1MDB lunas? Anda kurang membaca dan berfikir...,{Anonymous} Dlm diam najib curi duit 1mdb take tulis pun.,{rahman} dlm diam juga tanah 1mdb dijualdlm diam juga duit rasuah jadi sedekahdlm diam duit malaysia dah jadi duit sampahdlm diam juga undang2 negara di compromise dengan kerajaan utaradlm diam juga rasuah makin menjadi jadidlm diam tanah johor dengan hak milik kekal jadi milik rakyat chinadlm diam juga malaysia hancur,"{RD.} Dalam diam, asset dan anggota ATM di hantar untuk membantu Arab Saudi mengebom Yemen, Negara Arab paling miskin di Dunia, sehingga tidak mampu miliki Tentera Udara sendiri.Dalam diam, Malaysia telah membantu Arab Saudi membunuh Rakyat Yemen... orang-tua, wanita & kanak-kanak.Dalam diam, Malaysia telah masuk-campur dalam pertelingkahan bodoh Pak-Pak Arab yang menguntungkan 'musuh' Islam.Dalam diam, Malaysia akan menjadi musuh kepada Iran dan Puak Syiah.",,,,,,,,,,
"A landmark court decision that the WSJ, Sarawak Report and the like wouldn't want to know",20170324,6 comments,"{Anonymous} Adakah JHLow tak hantam duit 1MDB RMbillions , berclubbing , berjudi, berbetina bersama Riza Aziz@filem sex ,thewolf of wallstreet?","{Labu8455} Macam mau muntah la Latok to read your article or copy paste article in order to made Jibon look ""clean"".","{xnakdedak} Your desperation to defend the thieves is really touching, Latuk.The rakyat applauds your ""journalism"".And you're not even getting paid!!!!!!!How sweet.PS: Oh, what happened to the convenient ""civil / criminal"" divide that was tried as spin when the DOJ case broke?Dah lupa ke : )","{Tebing Tinggi XVII} Early days yet. Or are you trying to ""second guess"" the eventual decision of the US courts? And why is it a ""landmark decision""? No novel interpretations of case law were made by the judge in question. ","{Anonymous} The word ""landmark"" is your characterisation. Why is it considered a landmark decision? What legal new ground has this case broken to be considered a ""landmark"" case?And you are an expert in US law?You have some dedak at the corner of your mouth you've forgotten to wipe off.","{Anonymous} It's clear you have absolutely zero understanding of legal proceedings in the USA, a country where the judges have actual independence from the government of the day. What utter nonsense you write. ""Landmark"" - It was a procedural application, where the judge agreed only that the entities associated with Jlow have legal standing to join the proceedings. It is not an assessment of the validity of their claims - contrary to what your ridiculous headline asserts. ",,,,,,,,,,,,
The Malaysian Inciter,20170323,4 comments,"{used to rite} why is it that you talk about writers in a ""glorified"" light? you guys are losers who just followed orders.now with the net, every tom dick and harry has a platform.no need for losers who are paid to right a wrong anymore. anyone with a good nose can smell the shit and with a little intel can start giving out views.","{Anonymous} Dear Rocky,Sometimes I feel that I know your feeling right now. Being so lonely, a patriot must sacrifify. You know the truth but nothing you could do. It is really painful when you have to burn yourself. "" If we cannot fight them, joint them"". But you must persevere fighting your own belief. This is the world of capitalism. Cash is King!","{Unknown} I foresee TMI will always be good at instigating people. Which at the end of the day, made common people quarrel and bring no good to this country. ",{Frank Swettenham} Thanks jahabar for returning to journalism. Now we know TMI was never journalism. Can journalism survive without food and shelter?,,,,,,,,,,,,,,
With regards to that apology to HRH Sultan Selangor that the HRH Sultan Selangor did not demand ...,20170316,1 comment,"{Sal} It is MAIS that is not honouring agreement by seeking to annul. Are they hoping that by throwing the name of the Sultan that law and order and agreement can be simply thrown out?Now that MAIS has resorted to take on bloggers, they have exposed themselves as not honourable. Once signed, an agreement is to be honoured and not annuled. I believe it is haram not to honour ones agreement. There is a Mufti on MAIS council. Don't tell us he will justify and defend such dishonourable conduct of MAIS. ",,,,,,,,,,,,,,,,,
Countering fake news,20170314,3 comments,"{RD.} Salam Dato Rocky.What if... its the PM himself, not telling the truth to the public through Bulletin-TV3?I heard him said on Bulletin TV3... that Forest City condos was being sold, leasehold for 99 years. Upon hearing Najib himself said so, immediately I felt very guilty then... because I'd just wrote in FB, complaining and swearing... kepala-bu**h la Rakyat diDahulukan... about it being sold freehold to foreigners, when... to its own Rakyats gomen insisted... leasehold.I felt miserable the whole night for disseminating lies about Najib and Forest City then.Luckily, the next morning when I was about to apologize to Najib and my friends on FB, it turned out that it was Najib who lied on TV3.So... I suppose TV3 should lead by example... use this SEBENARNYA.MY portal to check on the authenticity of news before spreading ""half-truths and outright lies"" to the Rakyat.Salam again, Dato.","{xnakdedak} Sir,I have a question.I read on a blog that Najib never got 2.6 billion in his Ambank account because the SWIFT code was wrong and ""it's not bullshit"" that the Saudis gave him the money......in his Ambank account.Tolong lah.Help me sense of these lunatic bloggers.""SEBENARNYA......""",{Anonymous} The Mole becoming like any news portal and generating common news. No need to do reporting of view baaed on uncredible and nameless facebook comments.Get back to original role bro. ,,,,,,,,,,,,,,,
"""@#* yours, too!"", Umno MP tells Rafizi",20170308,3 comments,"{xnakdedak} Get Shshidan to beg for money from Mat Maslan IQ 3.85 (2 million cheque from Bugis crook) or Shahrir (1 million cheque from Bugis crook).""Ehhhhh brader, tolonglah.......""","{you rock, rocky} my goodnessif a supposedly top news editor admire YB Shahidan over his almost childish manner in parliament debate ""how seasoned Umno politician YB Shahidan Kasim schooled PKR strategic-something YB Rafizi"", this editor himself must be at least several class lower in his own mental faculty.this only enhance and provide further confirmation to what is rocky's real capability!","{Anonymous} Datuk,Ni Nazir monkey yg start kan?He listed n compared fuckgures from other nations.Dia lupe spt Singaporki banyak data tak dikira masuk spt Angkatan Tentera n polis etc not considered as civil servicemen.If these geng dtg balai polis or go to court, tak payah entertain, outertain je cukup.Dia ingat gaji MP n elaun n claim dia orang sape yg prepare?",,,,,,,,,,,,,,,
While the Agong makes headlines ...,20170307,1 comment,"{Mohd JAIS bin Jasin} MAIS denied the  existence of such a decree. It could means MAIS council intentionally gave the contractor a hard time for some intended purpose. What is it is not known. It is the usual practise of little napolean civil servants to give contractors a hardtime to extract kickback. Once paid off, everything runs smoothly.The chairman is the state financial officer before the AMLA-charged KSU, Dato Ariff. If not him, top state government officials are also members of MAIS council. If not him, there are former top state government officials like Dato Khusrin, but he is said to be a straight arrow. We cannot discount anyone can we. Worst case, there is also the mufti. SUppose there is no kickback. Possibly MAIS could be trying to divert the business away from Redha to a subsidiary of MAIS. They just learn the scheme involved to raise finance and thought, ""Ah, I can do that too!""""We been cheated!"" they claim. SO they decide to do it themselves. Then they should have dig up and learn how to undertake it themselves then just follow Mahathir great con job called privatisation!This is the conflict of interest danger when govt outfit also insist on pursuing to do business. THey should be doing what they know best and that is administer and govern. Make it more efficient.Its a shame of MAIS to act this way. They are supposed to set a good example. ",,,,,,,,,,,,,,,,,
Don't mess with Malaysia,20170306,4 comments,{RD.} Salam Dato.Just wondering ...why they made DPM Zahid looks 'bigger' than PM Najib?,"{Anonymous} Who will be Pakatan's answer to Najib, Zahid and Anifah?So far they can't even offer a PM-designate. Mahathir was initially trying to sneak in Mukhriz but it seem he maybe running in Langkawi. It could be himself coz PPBM do not have much chance to win seats. Pathetic of Msia to have a 91 year old as PM.And Deputy could be 80 something Kit Siang. Two mortal enemies fighting each other for decades. Can they work together after the initial honeymoon?Malaysia will be moving backward instead of forward with old school antiques steering the country.",{damansaraman} Tahniah kepada Kerajaan Malaysia terutamanya YAB Perdana Menteri. This is definitely a PROUD TO BE A MALAYSIAN moment!!!,"{arizmaya} now the north korean rogue leaders are saying""dont mess with us""",,,,,,,,,,,,,,
A selfie paints a thousand words,20170227,18 comments,{yb} A selfie from an exhibitionist comes natural but to engrave a PTD on the AG's wall is lethal.,"{xnakdedak} And what thousand words would that be, Latuk?Do enlighten us.The 136 pages of the DOJ report and the several hundred thousand words of Ambrin Buang in his OSA-ed report are a bit more relevant.","{xnakdedak} Although I once again applaud your 10-minute working style.Your twin dingleberries, the esteemed Bigdog and Voicey, have sooooo much to learn (mainly about grammar : )","{RD.} Salam Dato Rocky.The last time, he did that too, with Obama in The Beast. I'm sure China is watching.Well... he should better be careful whom he befriend, especially a war-monger.The Saudis are chummy with US. In-fact they hosted an American Military base where American Jet-fighters took-off to bomb Iraq and literally send Saddam to the gallows. Today... Iraq is Shia controlled. Bodoh betol.Unprovoked, the Saudis, hand in glove with US, bombed Yemen then coined the Coalition of Islamic Nation Against Terrorist and Najib was a part, of which Jokowi steadfastly declined.As a matter of fact, Najib discreetly send our boys for that Coalition's military exercise, code-named, Northern Thunder.Now... to the Saudis, Shias can also mean 'terrorist', because they are 'terrified' of Shia's Iran and technically in a proxy-war with them in Yemen. I'm sure Najib and King Salman would talk about Shia 'terror' too.Well...to me, the Malays should not get involve in Arabic stupidity.","{Anonymous} Datuk, Husim Lempoyang tu pun ko ada hati nak quote sama, kalau seademon tu faham lah sebab hantu, tapi saudagar unta ish....",{Mohd Jamil} RAKYAT SIUMAN CUKUP GEMBIRA DAN BERBESAR HATI..khusus org yg benar beriman...Masya Allah..moga diberi kebaikan pd kedua pemimpon ini.,{Irfan Asyraf} sbb agong jemput..harap maklum,"{Anonymous} no matter how much its worth, it still cant explain where the hell the tm2.6billion came and went from his private account.",{Al Kelakerns} Bro. Adakah derma dari Saudi di SAH KAN? Lu kalau nak mengampu pon. Look at the bigger picture bro. Stakat selfie ini boleh membersehkan penyamunan najib terkutuk pada NEGARA dan bangsa. You grow up brader. Kami yang menbaca jaringanmu bukan anak anak.,"{xnakdedak} Meanwhile his statement “the presence of King Salman is sufficient to prove Najib was telling the truth” of course lacks logic or explanation.When other leaders visit Malaysia it is not because they gave Najib a billion dollars and when he visits other countries it is not because he gave the leader a billion dollars.Unfortunately for Najib, this is one of the world’s biggest corruption cases, so yes, not only will the opposition continue harping on about it, but so will global law enforcers who are busy closing in on the RM2.6 bn …. and indeed all the additional payments that have now been identified going into Najib’s accounts from SRC, Blackstone Asia (BVI) etc….I guess your home country of Singapore is insane, eh Latuk?Chasing 1MDB cases & prosecutions, when everyone on this side of the border really BELIEVES it's 100% halal.Right?Is the Bugis Worrier's fat Chinese songlap clerk, Jho Low, going to escape?Should he?","{Rockybru} xnakdedak,you sure sound unhappy. but why should you? singapore, switzerland and those other countries are still investigating the alleged crimes involving 1mdb. raja salmon's visit may make you realise that, hey, he could have donated the rm2.6 billion, after all! but no need to get worked up because singapore (my home country? hehe, sllap tu, bang) does not have any love for the Saudis or their king or anyone he takes a selfie with, so if jho lo had used singapore to launder money or commit any other crimes, jho lo will get what's coming ... So far, as we all know, the Swiss has closed its errant banks in Singapore and some Singaporeans are going to jail for crimes linked to (not committed by) 1mdb.","{Rockybru} Mohd Jamil,Amiiin","{Rockybru} Anonymous Anonymous said...Datuk, Husim Lempoyang tu pun ko ada hati nak quote sama, kalau seademon tu faham lah sebab hantu, tapi saudagar unta ish....Anon,Husin Lempoyang tu bijaksana orangnya ... Hehe","{Rockybru} RD,Your line ""... the Malays should not get involved in Arabic stupidity"" referred. I agree. But hard to reverse what has been hammered into our psyche so effectively in the last few decades, don't you think?. When people equate the Arabs to Islam (and vice versa), that is not a surprising outcome. But having said, there are many beautiful things Arahjic which we Malays should and can emulate. Cuma kita tak nadir, kot ...Where diplomatic relations, military cooperation, etc are concerned, however, I am not that learned I see King Salman's visit from one intriguing angle: it took place within days of the also-historic visit by Israel's Benjamin Netayahu to Singapore (Feb 19). My Wisma Putra sources said it was a coincidence. I thought it was too good to be a coincidence. In any case, both Israel and Saudi Arabia have got Trump's America behind it. So I can't wait for Trump to be here ... one selfie with the Prime Minister for the album!","{xnakdedak} ""raja salmon's visit may make you realise that, hey, he could have donated the rm2.6 billion, after all"".Salman has been king since 2015.The Bugis pirate's windfall was in 2013.How astonishing that neither he nor ""I saw the documents"" Zahid just asks the Saudis to forward the forensic evidence of the ""transfer"" to the 7 countries, and close the matter.Why?Because there isn't any.",{Anonymous} kejap king salman kejap king aziz yg kasi. check the timeline.. hehe spin.. gaji buta betul cyber troppers umno nih.. -cam shial-,"{Anonymous} King Salman very proud of Saudi punye baju kebangsaan.Patut kite contohi, sekurang2nya bersongkok.Ada cite kata King Salman dah nyanyuk sikit.","{Anonymous} Defending the indefensible eh, Latuk ? When Najib goes to jail, what will you write in your blog ? ""Bukan gua bikin?"" ""Saya memang tak tahu."" We trust the DOJ, the Swiss AG, the Singapore CAD, more than we trust sycophants like you.Godfather"
Ampun Tuanku,20170224,13 comments,"{xnakdedak} ""If our royals start attacking personalities who are not our political enemies or current national leaders and MBs in public, for the right or the wrong reasons, what then? Will we still clap our hands and say, ""Ampun Tuanku""?""Your ""current leader"" gave the royals the middle finger on the passing of the NSC (Najib Saving Act).I think if you did a poll among them they won't be too happy with that.How funny that the Minister of Ass-kissing Blogging from Sabah can't remember that.","{Anonymous} Bro Bru,I get your drift. Even to engage in a rejoinder to your thoughts makes me to think more than twice. Perhaps the power that be could lay out what is lese majeste and what is fair comment.","{kich} Should also mention about this....""The ruler also criticises 'unintelligent federal minister' who wants to turn states into federal territories.Fed govt should review IRDA role, says Johor SultanYahoo News?PAGOH: The Sultan of Johor Sultan Ibrahim Sultan Iskandar today urged the Federal government to review the role of the Iskandar Regional Development Authority (IRDA)""",{Annie} Thanks for writing this. Salut. ,"{bumi-non-malay} NO NEED TO ASK FOR aMPUN.....WHAT HAVE YOU DONE WRONG...STOP THE MADNESS and idiotlogical Ideology brain washed into you since youth...""Sultan bermula dengan “Ampun Tuanku, beribu-ribu ampun, sembah patik harap diampun.” Dengan Tuhan/Allah pun tidak minta ampun macam tu. Dosa yang paling besar yang tidak boleh terampun ialah menduakan Tuhan/Allah""....FAHAM ASAS PRIORITY MANUSIA dimata ALLAH....kalau tak faham, tak senang bagi ALLAH/TUHAN Respek you yang mulia.","{RD.} Salam Dato Rocky.I don't think DYMM Sultan would be that angry with Dr.M, if His Highness had no business interest in Forest City.Salam again Dato.",{Penyokong Kebenaran} Dear Rocky...I suggest that you just keep your comment to youself.You are one disgraceful 'dedak eater' who will do anything to please the current leadership...and of course to keep on attacking Mahathir.Remember...you once before said in your blog....'critise Mahathir yes but dont demonise him'.I hold to that..but your action at this very moment...are all full of shits.You are just shit.Now you are trying to get the monarch to support your course all are to please and show support to the leader who has been accused many times of robbing the rakyat's moneyPlease be honest and accept the fact that the .'dedak' that you stuff in your stomach is also ours.,{Anonymous} Tun Mahathir received a DK(1) Johor in Apr 1989 from Almarhum Sultan Iskandar...,{Mohd Jamil} To understand Johore...before ones give comment...otherwise its a void and undept..Menjunjung Kasih Tuanku...Pada Allah Berserah..,"{Anonymous} Bumi Non MalayThat is just refine Malay manners and culture which you may need to learn.It is common among old folks to say, ""Maaf pakcik (or makcik) nak cakap"" before they be more forward or dispensing advise to the more junior family member.It is commonly said in the west as ""I am sorry I have to tell you this but ....""Even orang putih learned to emulate such refined Malay manners :)It means to seek forgiveness first in case you offend the person.You have a lot to learn","{Anonymous} You are right bro. The throne holder or throne holder in waiting should not seek popularity. Having facebook, twitter etc must be avoided. Politician are a special breed, we may hate them but the world cannot function without them. Taking on them is a dangerous game especially for those staying in glass houses.!!","{Damansaraman} Sultan marah Mahathir sebab menyentuh isu Forest City dimana Sultan mempunyai kepentingan keuntungan secara langsung. Bukan pun pasal mempertahankan Bangsa Johor.Seorang Menteri Pusat malah dengan bongkak dan bangganya mengiakan kata-kata Tuanku sebagai betul dan tepat.Cuma dia lupa yang Sultan juga mengkritik seorang Menteri Pusat yang bodoh kerana bercakap mengenai idea perluasan Wilayah Persekutuan.Isunya, jika kini Sultan secara terang mengkritik secara terbuka, apa akan jadi jika Sultan mengkritik Kepimpinan Kerajaan? Apakah Menteri Terlalu Amat Bijak dari Kota Belud akan sekali lagi melompat gembira? Hiduplah dalam alam impian manapun, realitinya perkara itu bakal berlaku segera. Lebih teruk pula jika Sultan dan Institusi Raja pula dikritik balik oleh rakyat / kerajaan atau sesiapa sahaja atas nama hak demokrasi?","{Anonymous} Why did Parliament follow Mahathir in limiting sovereign immunity of the Rulers to their official functions (acts) only and not any other acts? Did something happen like a sultan gambling in UK and not being able to pay his losses and having the Federal Govt to pick up the bill (I have never heard of that) or worse still killing someone because the Ruler was upset (Good heavens - that never happened in Malaysia).  It is time to be clear that if no such things happen, then the Rulers have nothing to fear from the legislation limiting their immunity to official acts only. Mega Ignoramus.",,,,,
"An Open Letter from a Gen M: Tun, be fair to yourself ...",20170222,2 comments,"{yamin vong} well said Hezeri, congrats",{Saz} Yes... a very good write up!,,,,,,,,,,,,,,,,
